model,resolution,width,height,triangles,frac_bits,total_differing,diff_eq_1,diff_eq_1_per_frame,diff_ge_2,diff_ge_2_per_frame,pct_screen_ge_2,max_channel,isolated_pct
solids_scene,480p,854,480,3636,0,467806,432823,43282.3,34983,3498.3,0.853410,221,0.19
solids_scene,480p,854,480,3636,1,421881,417825,41782.5,4056,405.6,0.098946,221,0.59
solids_scene,480p,854,480,3636,2,413014,411256,41125.6,1758,175.8,0.042886,220,0.74
solids_scene,480p,854,480,3636,3,407601,406819,40681.9,782,78.2,0.019077,220,0.68
solids_scene,480p,854,480,3636,4,405273,404882,40488.2,391,39.1,0.009538,217,0.52
solids_scene,480p,854,480,3636,6,402212,402086,40208.6,126,12.6,0.003074,217,0.26
solids_scene,480p,854,480,3636,8,402770,402735,40273.5,35,3.5,0.000854,215,0.17
solids_scene,480p,854,480,3636,12,401913,401912,40191.2,1,0.1,0.000024,106,0.12
solids_scene,480p,854,480,3636,16,401479,401477,40147.7,2,0.2,0.000049,92,0.13
solids_scene,720p,1280,720,3636,0,743901,699007,69900.7,44894,4489.4,0.487131,221,2.27
solids_scene,720p,1280,720,3636,1,653047,646504,64650.4,6543,654.3,0.070996,220,3.11
solids_scene,720p,1280,720,3636,2,640518,636965,63696.5,3553,355.3,0.038553,222,3.24
solids_scene,720p,1280,720,3636,3,629622,628165,62816.5,1457,145.7,0.015809,222,3.09
solids_scene,720p,1280,720,3636,4,624679,624027,62402.7,652,65.2,0.007075,222,2.90
solids_scene,720p,1280,720,3636,6,622618,622463,62246.3,155,15.5,0.001682,220,2.62
solids_scene,720p,1280,720,3636,8,620728,620696,62069.6,32,3.2,0.000347,203,2.53
solids_scene,720p,1280,720,3636,12,621121,621119,62111.9,2,0.2,0.000022,112,2.53
solids_scene,720p,1280,720,3636,16,620854,620854,62085.4,0,0.0,0.000000,1,2.45
solids_scene,1080p,1920,1080,3636,0,1604919,1547525,154752.5,57394,5739.4,0.276784,221,2.44
solids_scene,1080p,1920,1080,3636,1,1434291,1425780,142578.0,8511,851.1,0.041045,222,3.27
solids_scene,1080p,1920,1080,3636,2,1412442,1408184,140818.4,4258,425.8,0.020534,220,3.16
solids_scene,1080p,1920,1080,3636,3,1399311,1397117,139711.7,2194,219.4,0.010581,220,2.95
solids_scene,1080p,1920,1080,3636,4,1393886,1393001,139300.1,885,88.5,0.004268,218,2.80
solids_scene,1080p,1920,1080,3636,6,1388565,1388348,138834.8,217,21.7,0.001046,210,2.47
solids_scene,1080p,1920,1080,3636,8,1388534,1388474,138847.4,60,6.0,0.000289,164,2.49
solids_scene,1080p,1920,1080,3636,12,1390029,1390026,139002.6,3,0.3,0.000014,91,2.39
solids_scene,1080p,1920,1080,3636,16,1386515,1386515,138651.5,0,0.0,0.000000,1,2.38
torus_knot,1080p,1920,1080,12800,0,1691663,1541786,154178.6,149877,14987.7,0.722786,207,3.26
torus_knot,1080p,1920,1080,12800,1,525200,517063,51706.3,8137,813.7,0.039241,207,22.00
torus_knot,1080p,1920,1080,12800,2,355655,352310,35231.0,3345,334.5,0.016131,207,26.58
torus_knot,1080p,1920,1080,12800,3,271284,269707,26970.7,1577,157.7,0.007605,204,24.64
torus_knot,1080p,1920,1080,12800,4,225096,224391,22439.1,705,70.5,0.003400,204,18.57
torus_knot,1080p,1920,1080,12800,6,190402,190211,19021.1,191,19.1,0.000921,204,8.61
torus_knot,1080p,1920,1080,12800,8,181012,180963,18096.3,49,4.9,0.000236,145,4.64
torus_knot,1080p,1920,1080,12800,12,178839,178832,17883.2,7,0.7,0.000034,110,3.25
torus_knot,1080p,1920,1080,12800,16,178135,178134,17813.4,1,0.1,0.000005,60,3.19
IronMan,1080p,1920,1080,217038,0,871992,544373,54437.3,327619,32761.9,1.579953,213,2.15
IronMan,1080p,1920,1080,217038,1,462728,368893,36889.3,93835,9383.5,0.452522,215,7.63
IronMan,1080p,1920,1080,217038,2,360768,308247,30824.7,52521,5252.1,0.253284,213,10.59
IronMan,1080p,1920,1080,217038,3,296632,268015,26801.5,28617,2861.7,0.138006,211,13.17
IronMan,1080p,1920,1080,217038,4,254703,240909,24090.9,13794,1379.4,0.066522,206,14.36
IronMan,1080p,1920,1080,217038,6,209118,206890,20689.0,2228,222.8,0.010745,193,14.29
IronMan,1080p,1920,1080,217038,8,192747,192464,19246.4,283,28.3,0.001365,174,12.49
IronMan,1080p,1920,1080,217038,12,186099,186073,18607.3,26,2.6,0.000125,115,11.28
IronMan,1080p,1920,1080,217038,16,185972,185954,18595.4,18,1.8,0.000087,95,11.30
