frac_bits,max_channel_difference,count
0,1,1547525
0,2,15010
0,3,3901
0,4,1817
0,5,1150
0,6,689
0,7,535
0,8,271
0,9,250
0,10,397
0,11,252
0,12,184
0,13,395
0,14,189
0,15,55
0,16,152
0,17,295
0,18,171
0,19,168
0,20,107
0,21,271
0,22,365
0,23,153
0,24,138
0,25,117
0,26,61
0,27,49
0,28,28
0,29,48
0,30,34
0,31,25
0,32,45
0,33,38
0,34,46
0,35,25
0,36,23
0,37,24
0,38,32
0,39,22
0,40,33
0,41,25
0,42,21
0,43,19
0,44,16
0,45,53
0,46,105
0,47,137
0,48,257
0,49,187
0,50,131
0,51,149
0,52,94
0,53,55
0,54,109
0,55,35
0,56,37
0,57,273
0,58,494
0,59,278
0,60,497
0,61,192
0,62,64
0,63,8
0,64,70
0,65,210
0,66,73
0,67,36
0,68,70
0,69,141
0,70,395
0,71,109
0,72,165
0,73,470
0,74,486
0,75,321
0,76,236
0,77,322
0,78,292
0,79,128
0,80,189
0,81,268
0,82,127
0,83,365
0,84,490
0,85,423
0,86,282
0,87,496
0,88,503
0,89,1269
0,90,1940
0,91,4208
0,92,607
0,93,197
0,94,537
0,95,973
0,96,351
0,97,162
0,98,172
0,99,381
0,100,117
0,101,1541
0,102,500
0,103,256
0,104,129
0,105,41
0,106,190
0,107,848
0,108,191
0,109,869
0,110,460
0,111,570
0,112,186
0,113,106
0,114,34
0,115,16
0,116,46
0,117,101
0,118,50
0,119,59
0,120,59
0,121,51
0,122,62
0,123,68
0,124,70
0,125,65
0,126,65
0,127,89
0,128,136
0,129,60
0,130,67
0,131,65
0,132,88
0,133,88
0,134,84
0,135,66
0,136,53
0,137,52
0,138,50
0,139,16
0,140,18
0,141,34
0,142,17
0,143,24
0,144,23
0,145,54
0,146,26
0,147,16
0,148,13
0,149,13
0,150,21
0,151,22
0,152,33
0,153,19
0,154,18
0,155,13
0,156,12
0,157,11
0,158,11
0,159,7
0,160,12
0,161,15
0,162,12
0,163,17
0,164,10
0,165,12
0,166,7
0,167,16
0,168,11
0,169,21
0,170,19
0,171,13
0,172,17
0,173,18
0,174,20
0,175,18
0,176,10
0,177,14
0,178,14
0,179,25
0,180,22
0,181,16
0,182,9
0,183,8
0,184,7
0,185,12
0,186,9
0,187,4
0,188,12
0,189,5
0,190,2
0,191,8
0,192,7
0,193,3
0,194,12
0,195,6
0,196,7
0,197,1
0,198,3
0,200,1
0,201,8
0,202,31
0,203,11
0,204,15
0,205,25
0,206,34
0,207,49
0,208,77
0,209,88
0,210,72
0,211,45
0,212,18
0,213,16
0,214,11
0,215,16
0,216,43
0,217,23
0,218,14
0,219,5
0,220,2
0,221,2
1,1,1425780
1,2,460
1,3,202
1,4,146
1,5,139
1,6,93
1,7,91
1,8,49
1,9,42
1,10,42
1,11,35
1,12,38
1,13,63
1,14,40
1,15,24
1,16,28
1,17,47
1,18,49
1,19,60
1,20,26
1,21,32
1,22,46
1,23,45
1,24,48
1,25,20
1,26,10
1,27,10
1,28,4
1,29,9
1,30,2
1,31,7
1,32,5
1,33,10
1,34,5
1,35,4
1,36,6
1,37,5
1,38,9
1,39,6
1,40,5
1,41,10
1,42,7
1,43,1
1,44,2
1,45,16
1,46,14
1,47,34
1,48,108
1,49,45
1,50,18
1,51,23
1,52,25
1,53,12
1,54,30
1,55,22
1,56,7
1,57,86
1,58,134
1,59,61
1,60,102
1,61,34
1,62,8
1,63,4
1,64,8
1,65,53
1,66,12
1,67,17
1,68,15
1,69,45
1,70,149
1,71,43
1,72,53
1,73,144
1,74,123
1,75,96
1,76,57
1,77,51
1,78,62
1,79,19
1,80,53
1,81,30
1,82,30
1,83,86
1,84,119
1,85,69
1,86,113
1,87,102
1,88,107
1,89,300
1,90,297
1,91,979
1,92,93
1,93,61
1,94,114
1,95,127
1,96,33
1,97,20
1,98,25
1,99,91
1,100,35
1,101,125
1,102,48
1,103,38
1,104,43
1,105,12
1,106,33
1,107,309
1,108,75
1,109,304
1,110,151
1,111,86
1,112,19
1,113,22
1,114,4
1,115,3
1,116,11
1,117,20
1,118,10
1,119,7
1,120,3
1,121,8
1,122,8
1,123,6
1,124,8
1,125,8
1,126,7
1,127,16
1,128,14
1,129,8
1,130,16
1,131,17
1,132,15
1,133,16
1,134,14
1,135,6
1,136,10
1,137,11
1,138,7
1,139,4
1,140,5
1,141,6
1,142,3
1,143,6
1,144,4
1,145,4
1,146,3
1,147,3
1,148,4
1,149,5
1,150,2
1,151,2
1,152,8
1,153,10
1,154,2
1,155,2
1,156,2
1,157,2
1,158,4
1,159,2
1,160,3
1,161,3
1,162,3
1,163,5
1,165,1
1,166,1
1,167,2
1,168,6
1,169,1
1,170,3
1,171,1
1,172,5
1,173,4
1,174,6
1,175,6
1,176,2
1,177,5
1,178,4
1,179,6
1,180,7
1,181,5
1,182,1
1,183,5
1,184,2
1,185,7
1,186,2
1,187,1
1,188,4
1,189,2
1,190,2
1,191,2
1,192,1
1,193,3
1,194,3
1,196,2
1,197,1
1,198,2
1,199,1
1,201,5
1,202,10
1,203,10
1,204,12
1,205,12
1,206,10
1,207,13
1,208,22
1,209,27
1,210,9
1,211,11
1,212,8
1,213,7
1,214,5
1,215,4
1,216,10
1,217,8
1,218,5
1,219,2
1,220,1
1,221,2
1,222,1
2,1,1408184
2,2,126
2,3,54
2,4,46
2,5,57
2,6,36
2,7,44
2,8,24
2,9,19
2,10,16
2,11,13
2,12,19
2,13,34
2,14,20
2,15,5
2,16,15
2,17,14
2,18,9
2,19,26
2,20,7
2,21,10
2,22,29
2,23,17
2,24,15
2,25,22
2,26,4
2,27,5
2,28,6
2,29,2
2,30,4
2,31,3
2,32,7
2,33,2
2,34,5
2,35,3
2,36,2
2,37,5
2,38,9
2,39,1
2,40,1
2,41,2
2,42,3
2,43,1
2,44,1
2,45,10
2,46,7
2,47,18
2,48,34
2,49,20
2,50,14
2,51,14
2,52,16
2,53,10
2,54,19
2,55,20
2,56,8
2,57,82
2,58,67
2,59,41
2,60,56
2,61,18
2,62,11
2,63,1
2,64,5
2,65,22
2,66,7
2,67,6
2,68,5
2,69,15
2,70,58
2,71,16
2,72,15
2,73,74
2,74,42
2,75,39
2,76,35
2,77,18
2,78,18
2,79,23
2,80,30
2,81,23
2,82,14
2,83,43
2,84,36
2,85,40
2,86,38
2,87,47
2,88,38
2,89,116
