frac_bits,frame,differing,pct,max_channel,isolated
0,0,92257,4.4491,212,5191
0,1,133379,6.4322,213,3401
0,2,141204,6.8096,214,3430
0,3,147055,7.0918,215,3600
0,4,161006,7.7646,216,3868
0,5,170654,8.2298,220,3728
0,6,181016,8.7296,220,3768
0,7,188648,9.0976,221,3811
0,8,192816,9.2986,221,4178
0,9,196884,9.4948,217,4200
1,0,85539,4.1251,113,4963
1,1,127139,6.1313,210,3613
1,2,131119,6.3233,213,3759
1,3,135425,6.5309,213,4108
1,4,145235,7.0040,198,4585
1,5,153264,7.3912,217,4771
1,6,160899,7.7594,222,4844
1,7,163483,7.8840,220,5284
1,8,165737,7.9927,218,5289
1,9,166451,8.0272,221,5663
2,0,85701,4.1330,114,4894
2,1,126383,6.0949,210,3495
2,2,130317,6.2846,213,3783
2,3,134505,6.4865,210,4082
2,4,142808,6.8870,216,4370
2,5,151899,7.3254,218,4500
2,6,156845,7.5639,209,4642
2,7,160085,7.7201,220,4862
2,8,161948,7.8100,218,4982
2,9,161951,7.8101,220,5079
3,0,85090,4.1035,114,4423
3,1,125697,6.0618,212,3397
3,2,129462,6.2433,210,3678
3,3,133617,6.4437,213,3712
3,4,141876,6.8420,191,4204
3,5,150465,7.2562,212,4165
3,6,155608,7.5042,213,4261
3,7,158175,7.6280,218,4357
3,8,159325,7.6835,218,4450
3,9,159996,7.7159,220,4633
4,0,86057,4.1501,112,5138
4,1,125595,6.0569,209,3355
4,2,129356,6.2382,210,3432
4,3,132793,6.4040,208,3725
4,4,141948,6.8455,179,3821
4,5,149476,7.2085,193,3967
4,6,154962,7.4731,213,3863
4,7,157275,7.5846,218,3812
4,8,158492,7.6433,218,4049
4,9,157932,7.6163,216,3915
6,0,85051,4.1016,111,4337
6,1,125404,6.0476,122,3133
6,2,128780,6.2105,110,3266
6,3,132760,6.4024,209,3369
6,4,141422,6.8201,149,3560
6,5,149210,7.1957,175,3374
6,6,154153,7.4341,181,3411
6,7,156698,7.5568,210,3317
6,8,157230,7.5825,134,3364
6,9,157857,7.6127,179,3233
8,0,85431,4.1199,1,4690
8,1,125841,6.0687,109,3203
8,2,129049,6.2234,128,3240
8,3,132561,6.3928,95,3480
8,4,141152,6.8071,110,3483
8,5,148866,7.1791,137,3552
8,6,154039,7.4286,164,3397
8,7,156589,7.5516,134,3357
8,8,157569,7.5988,89,3081
8,9,157437,7.5924,109,3140
12,0,86647,4.1786,1,4199
12,1,125687,6.0613,1,3190
12,2,129141,6.2279,1,3334
12,3,132296,6.3800,1,3511
12,4,141539,6.8258,1,3376
12,5,148965,7.1839,91,3364
12,6,153998,7.4266,1,3141
12,7,156885,7.5658,1,3069
12,8,157738,7.6070,1,3102
12,9,157133,7.5778,1,2908
16,0,84541,4.0770,1,4005
16,1,125779,6.0657,1,3252
16,2,128351,6.1898,1,3177
16,3,132946,6.4114,1,3182
16,4,141285,6.8135,1,3399
16,5,148861,7.1789,1,3452
16,6,153742,7.4143,1,3248
16,7,156510,7.5477,1,3177
16,8,157200,7.5810,1,3083
16,9,157300,7.5858,1,2971
