resolution,width,height,frac_bits,total_differing,diff_eq_1,diff_ge_2,diff_ge_2_per_frame,pct_of_screen_ge_2,max_channel,isolated_pct
480p,854,480,0,467806,432823,34983,3498.3,0.853410,221,0.19
480p,854,480,1,421881,417825,4056,405.6,0.098946,221,0.59
480p,854,480,2,413014,411256,1758,175.8,0.042886,220,0.74
480p,854,480,3,407601,406819,782,78.2,0.019077,220,0.68
480p,854,480,4,405273,404882,391,39.1,0.009538,217,0.52
480p,854,480,6,402212,402086,126,12.6,0.003074,217,0.26
480p,854,480,8,402770,402735,35,3.5,0.000854,215,0.17
480p,854,480,12,401913,401912,1,0.1,0.000024,106,0.12
480p,854,480,16,401479,401477,2,0.2,0.000049,92,0.13
720p,1280,720,0,743901,699007,44894,4489.4,0.487131,221,2.27
720p,1280,720,1,653047,646504,6543,654.3,0.070996,220,3.11
720p,1280,720,2,640518,636965,3553,355.3,0.038553,222,3.24
720p,1280,720,3,629622,628165,1457,145.7,0.015809,222,3.09
720p,1280,720,4,624679,624027,652,65.2,0.007075,222,2.90
720p,1280,720,6,622618,622463,155,15.5,0.001682,220,2.62
720p,1280,720,8,620728,620696,32,3.2,0.000347,203,2.53
720p,1280,720,12,621121,621119,2,0.2,0.000022,112,2.53
720p,1280,720,16,620854,620854,0,0.0,0.000000,1,2.45
1080p,1920,1080,0,1604919,1547525,57394,5739.4,0.276784,221,2.44
1080p,1920,1080,1,1434291,1425780,8511,851.1,0.041045,222,3.27
1080p,1920,1080,2,1412442,1408184,4258,425.8,0.020534,220,3.16
1080p,1920,1080,3,1399311,1397117,2194,219.4,0.010581,220,2.95
1080p,1920,1080,4,1393886,1393001,885,88.5,0.004268,218,2.80
1080p,1920,1080,6,1388565,1388348,217,21.7,0.001046,210,2.47
1080p,1920,1080,8,1388534,1388474,60,6.0,0.000289,164,2.49
1080p,1920,1080,12,1390029,1390026,3,0.3,0.000014,91,2.39
1080p,1920,1080,16,1386515,1386515,0,0.0,0.000000,1,2.38
