model,resolution,width,height,triangles,frames,frac_bits,total_differing,diff_eq_1,diff_eq_1_per_frame,diff_ge_2,diff_ge_2_per_frame,pct_screen_ge_2,max_channel,isolated_pct
solids_scene,480p,854,480,3636,10,0,467806,432823,43282.3,34983,3498.3,0.853410,221,0.19
solids_scene,480p,854,480,3636,10,1,421881,417825,41782.5,4056,405.6,0.098946,221,0.59
solids_scene,480p,854,480,3636,10,2,413014,411256,41125.6,1758,175.8,0.042886,220,0.74
solids_scene,480p,854,480,3636,10,3,407601,406819,40681.9,782,78.2,0.019077,220,0.68
solids_scene,480p,854,480,3636,10,4,405273,404882,40488.2,391,39.1,0.009538,217,0.52
solids_scene,480p,854,480,3636,10,6,402212,402086,40208.6,126,12.6,0.003074,217,0.26
solids_scene,480p,854,480,3636,10,8,402770,402735,40273.5,35,3.5,0.000854,215,0.17
solids_scene,480p,854,480,3636,10,12,401913,401912,40191.2,1,0.1,0.000024,106,0.12
solids_scene,480p,854,480,3636,10,16,401479,401477,40147.7,2,0.2,0.000049,92,0.13
solids_scene,720p,1280,720,3636,10,0,743901,699007,69900.7,44894,4489.4,0.487131,221,2.27
solids_scene,720p,1280,720,3636,10,1,653047,646504,64650.4,6543,654.3,0.070996,220,3.11
solids_scene,720p,1280,720,3636,10,2,640518,636965,63696.5,3553,355.3,0.038553,222,3.24
solids_scene,720p,1280,720,3636,10,3,629622,628165,62816.5,1457,145.7,0.015809,222,3.09
solids_scene,720p,1280,720,3636,10,4,624679,624027,62402.7,652,65.2,0.007075,222,2.90
solids_scene,720p,1280,720,3636,10,6,622618,622463,62246.3,155,15.5,0.001682,220,2.62
solids_scene,720p,1280,720,3636,10,8,620728,620696,62069.6,32,3.2,0.000347,203,2.53
solids_scene,720p,1280,720,3636,10,12,621121,621119,62111.9,2,0.2,0.000022,112,2.53
solids_scene,720p,1280,720,3636,10,16,620854,620854,62085.4,0,0.0,0.000000,1,2.45
solids_scene,1080p,1920,1080,3636,10,0,1604919,1547525,154752.5,57394,5739.4,0.276784,221,2.44
solids_scene,1080p,1920,1080,3636,10,1,1434291,1425780,142578.0,8511,851.1,0.041045,222,3.27
solids_scene,1080p,1920,1080,3636,10,2,1412442,1408184,140818.4,4258,425.8,0.020534,220,3.16
solids_scene,1080p,1920,1080,3636,10,3,1399311,1397117,139711.7,2194,219.4,0.010581,220,2.95
solids_scene,1080p,1920,1080,3636,10,4,1393886,1393001,139300.1,885,88.5,0.004268,218,2.80
solids_scene,1080p,1920,1080,3636,10,6,1388565,1388348,138834.8,217,21.7,0.001046,210,2.47
solids_scene,1080p,1920,1080,3636,10,8,1388534,1388474,138847.4,60,6.0,0.000289,164,2.49
solids_scene,1080p,1920,1080,3636,10,12,1390029,1390026,139002.6,3,0.3,0.000014,91,2.39
solids_scene,1080p,1920,1080,3636,10,16,1386515,1386515,138651.5,0,0.0,0.000000,1,2.38
torus_knot,1080p,1920,1080,12800,10,0,1691663,1541786,154178.6,149877,14987.7,0.722786,207,3.26
torus_knot,1080p,1920,1080,12800,10,1,525200,517063,51706.3,8137,813.7,0.039241,207,22.00
torus_knot,1080p,1920,1080,12800,10,2,355655,352310,35231.0,3345,334.5,0.016131,207,26.58
torus_knot,1080p,1920,1080,12800,10,3,271284,269707,26970.7,1577,157.7,0.007605,204,24.64
torus_knot,1080p,1920,1080,12800,10,4,225096,224391,22439.1,705,70.5,0.003400,204,18.57
torus_knot,1080p,1920,1080,12800,10,6,190402,190211,19021.1,191,19.1,0.000921,204,8.61
torus_knot,1080p,1920,1080,12800,10,8,181012,180963,18096.3,49,4.9,0.000236,145,4.64
torus_knot,1080p,1920,1080,12800,10,12,178839,178832,17883.2,7,0.7,0.000034,110,3.25
torus_knot,1080p,1920,1080,12800,10,16,178135,178134,17813.4,1,0.1,0.000005,60,3.19
IronMan,1080p,1920,1080,217038,120,0,9297205,5524708,46039.2,3772497,31437.5,1.516082,,
IronMan,1080p,1920,1080,217038,120,1,4931710,3769413,31411.8,1162297,9685.8,0.467101,,
IronMan,1080p,1920,1080,217038,120,2,3852189,3189467,26578.9,662722,5522.7,0.266333,,
IronMan,1080p,1920,1080,217038,120,3,3142322,2779528,23162.7,362794,3023.3,0.145799,,
IronMan,1080p,1920,1080,217038,120,4,2669107,2487075,20725.6,182032,1516.9,0.073155,,
IronMan,1080p,1920,1080,217038,120,6,2149684,2118801,17656.7,30883,257.4,0.012411,,
IronMan,1080p,1920,1080,217038,120,8,1949084,1944780,16206.5,4304,35.9,0.001730,,
IronMan,1080p,1920,1080,217038,120,12,1868777,1867595,15563.3,1182,9.8,0.000475,,
IronMan,1080p,1920,1080,217038,120,16,1867128,1866007,15550.1,1121,9.3,0.000451,,
