frac_bits,max_channel_difference,count
0,1,1541786
0,2,81270
0,3,20996
0,4,8222
0,5,3934
0,6,1967
0,7,1346
0,8,805
0,9,476
0,10,346
0,11,236
0,12,176
0,13,140
0,14,115
0,15,106
0,16,72
0,17,60
0,18,50
0,19,43
0,20,48
0,21,127
0,22,93
0,23,66
0,24,70
0,25,90
0,26,319
0,27,133
0,28,89
0,29,115
0,30,98
0,31,91
0,32,125
0,33,89
0,34,84
0,35,86
0,36,94
0,37,98
0,38,140
0,39,267
0,40,149
0,41,129
0,42,137
0,43,123
0,44,115
0,45,120
0,46,115
0,47,144
0,48,204
0,49,209
0,50,156
0,51,100
0,52,69
0,53,92
0,54,79
0,55,101
0,56,117
0,57,119
0,58,111
0,59,125
0,60,102
0,61,131
0,62,173
0,63,146
0,64,137
0,65,117
0,66,134
0,67,156
0,68,171
0,69,131
0,70,138
0,71,189
0,72,183
0,73,186
0,74,186
0,75,162
0,76,164
0,77,129
0,78,122
0,79,129
0,80,145
0,81,218
0,82,210
0,83,256
0,84,243
0,85,279
0,86,390
0,87,468
0,88,501
0,89,739
0,90,394
0,91,376
0,92,454
0,93,779
0,94,814
0,95,369
0,96,311
0,97,367
0,98,428
0,99,577
0,100,640
0,101,2020
0,102,489
0,103,346
0,104,416
0,105,4002
0,106,483
0,107,104
0,108,75
0,109,480
0,110,125
0,111,53
0,112,30
0,113,36
0,114,38
0,115,49
0,116,46
0,117,44
0,118,38
0,119,41
0,120,44
0,121,51
0,122,52
0,123,33
0,124,38
0,125,44
0,126,46
0,127,34
0,128,45
0,129,49
0,130,51
0,131,53
0,132,51
0,133,53
0,134,45
0,135,43
0,136,49
0,137,55
0,138,39
0,139,41
0,140,55
0,141,41
0,142,58
0,143,43
0,144,60
0,145,50
0,146,51
0,147,54
0,148,51
0,149,63
0,150,49
0,151,51
0,152,56
0,153,65
0,154,60
0,155,65
0,156,90
0,157,74
0,158,59
0,159,56
0,160,35
0,161,45
0,162,70
0,163,99
0,164,71
0,165,70
0,166,77
0,167,68
0,168,57
0,169,62
0,170,73
0,171,62
0,172,54
0,173,36
0,174,53
0,175,24
0,176,23
0,177,17
0,178,22
0,179,27
0,180,28
0,181,48
0,182,34
0,183,34
0,184,21
0,185,24
0,186,18
0,187,21
0,188,20
0,189,21
0,190,20
0,191,22
0,192,25
0,193,26
0,194,29
0,195,17
0,196,18
0,197,25
0,198,40
0,199,38
0,200,42
0,201,21
0,202,19
0,203,15
0,204,24
0,205,15
0,206,37
0,207,8
1,1,517063
1,2,1797
1,3,392
1,4,157
1,5,73
1,6,28
1,7,14
1,8,17
1,9,11
1,10,5
1,11,3
1,12,6
1,13,8
1,14,4
1,15,9
1,16,5
1,17,2
1,18,3
1,19,2
1,20,4
1,21,24
1,22,12
1,23,3
1,24,6
1,25,24
1,26,77
1,27,34
1,28,21
1,29,28
1,30,19
1,31,20
1,32,38
1,33,20
1,34,20
1,35,28
1,36,21
1,37,23
1,38,28
1,39,64
1,40,30
1,41,30
1,42,20
1,43,21
1,44,20
1,45,22
1,46,26
1,47,27
1,48,31
1,49,75
1,50,37
1,51,27
1,52,19
1,53,28
1,54,27
1,55,29
1,56,18
1,57,36
1,58,40
1,59,31
