frac_bits,frame,differing,pct,max_channel,isolated
0,0,179727,8.6674,207,5319
0,1,172785,8.3326,205,4855
0,2,160423,7.7364,199,4975
0,3,147597,7.1179,194,5688
0,4,152280,7.3438,202,5980
0,5,160918,7.7603,202,5484
0,6,170257,8.2107,200,5352
0,7,175538,8.4654,206,5833
0,8,181454,8.7507,206,5791
0,9,190684,9.1958,207,5855
1,0,61297,2.9561,207,11993
1,1,54561,2.6312,205,11321
1,2,48692,2.3482,195,11422
1,3,43747,2.1097,193,10513
1,4,46438,2.2395,201,10898
1,5,45652,2.2016,202,11598
1,6,50429,2.4320,205,11786
1,7,52850,2.5487,192,11545
1,8,57809,2.7879,206,12154
1,9,63725,3.0732,205,12302
2,0,44517,2.1468,207,9608
2,1,38902,1.8761,193,10006
2,2,32147,1.5503,198,9194
2,3,29283,1.4122,192,8517
2,4,30941,1.4921,202,9229
2,5,29052,1.4010,202,8985
2,6,31612,1.5245,170,9156
2,7,35337,1.7041,193,9680
2,8,39908,1.9246,192,9852
2,9,43956,2.1198,193,10290
3,0,36553,1.7628,195,7031
3,1,30310,1.4617,204,6739
3,2,24875,1.1996,198,6443
3,3,22381,1.0793,191,5934
3,4,22068,1.0642,194,6210
3,5,21239,1.0243,198,6304
3,6,23716,1.1437,200,6744
3,7,26528,1.2793,193,6926
3,8,29905,1.4422,192,7065
3,9,33709,1.6256,192,7439
4,0,31610,1.5244,197,4204
4,1,25991,1.2534,152,4023
4,2,20379,0.9828,185,3856
4,3,18237,0.8795,177,3551
4,4,18059,0.8709,184,3871
4,5,16898,0.8149,165,4107
4,6,18635,0.8987,149,4315
4,7,21136,1.0193,166,4263
4,8,25480,1.2288,171,4832
4,9,28671,1.3827,204,4781
6,0,28363,1.3678,169,1767
6,1,22602,1.0900,204,1575
6,2,17113,0.8253,165,1430
6,3,15455,0.7453,105,1400
6,4,14640,0.7060,169,1417
6,5,13549,0.6534,201,1655
6,6,14905,0.7188,193,1777
6,7,17524,0.8451,161,1778
6,8,21636,1.0434,168,1872
6,9,24615,1.1871,204,1730
8,0,27513,1.3268,145,1000
8,1,21835,1.0530,102,829
8,2,16230,0.7827,105,656
8,3,14609,0.7045,143,710
8,4,14042,0.6772,105,724
8,5,12663,0.6107,137,821
8,6,13834,0.6671,144,876
8,7,16564,0.7988,105,886
8,8,20251,0.9766,135,948
8,9,23471,1.1319,105,952
12,0,27172,1.3104,60,723
12,1,21731,1.0480,89,583
12,2,16099,0.7764,98,443
12,3,14330,0.6911,88,466
12,4,13746,0.6629,1,506
12,5,12351,0.5956,76,550
12,6,13681,0.6598,1,623
12,7,16393,0.7906,105,628
12,8,19953,0.9622,110,682
12,9,23383,1.1277,1,614
16,0,27165,1.3100,60,667
16,1,21599,1.0416,1,563
16,2,16132,0.7780,1,393
16,3,14359,0.6925,1,469
16,4,13668,0.6591,1,508
16,5,12375,0.5968,1,543
16,6,13498,0.6509,1,629
16,7,16234,0.7829,1,627
16,8,19993,0.9642,1,678
16,9,23112,1.1146,1,611
